Date,Transect,NET,Impact,dt
2021-12-04 16:00,CN_SRI_MUM_02631022,0.801,2,+40h
2021-12-05 13:00,CN_SRI_MUM_02631022,-1.309,1,+37h
2021-11-19 06:00,CN_SRI_MUM_02631022,0.835,2,+30h
2021-11-14 17:00,CN_SRI_MUM_02631022,0.344,1,+41h
2021-12-02 12:00,CN_SRI_MUM_02631022,-0.867,1,+36h
2021-12-02 13:00,CN_SRI_MUM_02631022,-0.418,1,+37h
2021-11-25 05:00,CN_SRI_MUM_02631022,-0.693,1,+29h
2021-11-23 12:00,CN_SRI_MUM_02631022,-0.208,1,+36h
2021-11-09 17:00,CN_SRI_MUM_02631022,-0.727,1,+17h
2021-12-08 22:00,CN_SRI_MUM_02631022,1.589,2,+46h
2021-12-02 14:00,CN_SRI_MUM_02631022,0.143,1,+38h
2021-11-30 13:00,CN_SRI_MUM_02631022,0.423,1,+37h
2021-11-15 01:00,CN_SRI_MUM_02631022,0.494,1,+25h
2021-11-20 03:00,CN_SRI_MUM_02631022,-0.851,1,+27h
2021-11-12 03:00,CN_SRI_MUM_02631022,-0.140,1,+27h
2021-11-14 03:00,CN_SRI_MUM_02631022,0.890,2,+27h
2021-12-09 22:00,CN_SRI_MUM_02631022,1.160,2,+46h
2021-12-04 10:00,CN_SRI_MUM_02631022,-0.801,1,+34h
2021-11-24 02:00,CN_SRI_MUM_02631022,-0.479,1,+26h
2021-12-08 19:00,CN_SRI_MUM_02631022,0.805,2,+43h
2021-12-04 04:00,CN_SRI_MUM_02631022,-0.034,1,+28h
2021-11-30 14:00,CN_SRI_MUM_02631022,0.676,2,+38h
2021-11-17 09:00,CN_SRI_MUM_02631022,-0.195,1,+33h
2021-11-25 13:00,CN_SRI_MUM_02631022,-0.295,1,+37h
2021-11-27 10:00,CN_SRI_MUM_02631022,0.510,1,+34h
2021-12-03 00:00,CN_SRI_MUM_02631022,-0.968,1,+48h
2021-11-17 18:00,CN_SRI_MUM_02631022,0.949,2,+42h
2021-11-21 02:00,CN_SRI_MUM_02631022,-1.129,1,+26h
2021-11-21 23:00,CN_SRI_MUM_02631022,0.067,1,+47h
2021-11-11 05:00,CN_SRI_MUM_02631022,-0.999,1,+29h
2021-11-12 22:00,CN_SRI_MUM_02631022,0.365,1,+46h
2021-12-05 16:00,CN_SRI_MUM_02631022,0.074,1,+40h
2021-11-13 19:00,CN_SRI_MUM_02631022,-0.483,1,+43h
2021-11-10 14:00,CN_SRI_MUM_02631022,-0.643,1,+38h
2021-11-12 01:00,CN_SRI_MUM_02631022,0.704,2,+25h
2021-11-23 03:00,CN_SRI_MUM_02631022,-0.747,1,+27h
2021-11-24 06:00,CN_SRI_MUM_02631022,-0.368,1,+30h
2021-12-06 17:00,CN_SRI_MUM_02631022,0.313,1,+41h
2021-11-16 04:00,CN_SRI_MUM_02631022,1.111,2,+28h
2021-12-06 09:00,CN_SRI_MUM_02631022,0.444,1,+33h
2021-11-11 03:00,CN_SRI_MUM_02631022,-0.329,1,+27h
2021-11-26 15:00,CN_SRI_MUM_02631022,-0.465,1,+39h
2021-11-27 08:00,CN_SRI_MUM_02631022,0.031,1,+32h
2021-11-09 18:00,CN_SRI_MUM_02631022,-0.200,1,+18h
2021-12-09 23:00,CN_SRI_MUM_02631022,1.039,2,+47h
2021-11-19 17:00,CN_SRI_MUM_02631022,0.870,2,+41h
2021-11-17 19:00,CN_SRI_MUM_02631022,0.724,2,+43h
2021-11-11 23:00,CN_SRI_MUM_02631022,0.788,2,+47h
2021-11-17 23:00,CN_SRI_MUM_02631022,-1.057,1,+47h
2021-11-27 02:00,CN_SRI_MUM_02631022,0.627,1,+26h
2021-11-19 15:00,CN_SRI_MUM_02631022,-0.116,1,+39h
2021-11-28 02:00,CN_SRI_MUM_02631022,0.889,2,+26h
2021-11-24 08:00,CN_SRI_MUM_02631022,0.204,1,+32h
2021-12-05 07:00,CN_SRI_MUM_02631022,0.979,2,+31h
2021-11-25 12:00,CN_SRI_MUM_02631022,0.027,1,+36h
2021-11-13 17:00,CN_SRI_MUM_02631022,-0.053,1,+41h
2021-11-23 19:00,CN_SRI_MUM_02631022,0.920,2,+43h
2021-11-22 10:00,CN_SRI_MUM_02631022,0.301,1,+34h
2021-12-05 03:00,CN_SRI_MUM_02631022,-0.763,1,+27h
2021-11-09 15:00,CN_SRI_MUM_02631022,-1.104,1,+15h
2021-11-30 11:00,CN_SRI_MUM_02631022,-0.223,1,+35h
2021-12-02 17:00,CN_SRI_MUM_02631022,1.244,2,+41h
2021-12-04 12:00,CN_SRI_MUM_02631022,-1.298,1,+36h
2021-11-19 20:00,CN_SRI_MUM_02631022,1.000,2,+44h
2021-11-29 18:00,CN_SRI_MUM_02631022,-0.340,1,+42h
2021-11-14 19:00,CN_SRI_MUM_02631022,-0.243,1,+43h
2021-12-08 17:00,CN_SRI_MUM_02631022,-0.436,1,+41h
2021-11-17 17:00,CN_SRI_MUM_02631022,0.918,2,+41h
2021-11-12 17:00,CN_SRI_MUM_02631022,-0.596,1,+41h
2021-11-18 00:00,CN_SRI_MUM_02631022,-1.170,1,+48h
2021-12-08 00:00,CN_SRI_MUM_02631022,-0.287,1,+48h
2021-12-02 09:00,CN_SRI_MUM_02631022,-0.797,1,+33h
2021-11-12 19:00,CN_SRI_MUM_02631022,-0.662,1,+43h
2021-12-05 11:00,CN_SRI_MUM_02631022,-0.770,1,+35h
2021-11-30 16:00,CN_SRI_MUM_02631022,0.738,2,+40h
2021-11-11 14:00,CN_SRI_MUM_02631022,-0.172,1,+38h
2021-11-17 02:00,CN_SRI_MUM_02631022,-0.223,1,+26h
2021-11-28 10:00,CN_SRI_MUM_02631022,0.011,1,+34h
2021-11-21 11:00,CN_SRI_MUM_02631022,-0.353,1,+35h
2021-11-16 09:00,CN_SRI_MUM_02631022,-0.352,1,+33h
2021-11-28 03:00,CN_SRI_MUM_02631022,0.560,1,+27h
2021-11-20 04:00,CN_SRI_MUM_02631022,-0.454,1,+28h
2021-11-23 00:00,CN_SRI_MUM_02631022,0.213,1,+48h
2021-11-18 23:00,CN_SRI_MUM_02631022,-0.678,1,+47h
2021-12-07 06:00,CN_SRI_MUM_02631022,0.520,1,+30h
2021-11-27 01:00,CN_SRI_MUM_02631022,0.948,2,+25h
2021-11-27 22:00,CN_SRI_MUM_02631022,0.863,2,+46h
2021-11-16 05:00,CN_SRI_MUM_02631022,1.143,2,+29h
2021-12-08 09:00,CN_SRI_MUM_02631022,0.723,2,+33h
2021-11-10 18:00,CN_SRI_MUM_02631022,-0.610,1,+42h
2021-11-19 14:00,CN_SRI_MUM_02631022,-0.536,1,+38h
2021-11-10 02:00,CN_SRI_MUM_02631022,-0.383,1,+26h
2021-11-16 14:00,CN_SRI_MUM_02631022,0.063,1,+38h
2021-11-22 21:00,CN_SRI_MUM_02631022,1.475,2,+45h
2021-12-05 06:00,CN_SRI_MUM_02631022,0.820,2,+30h
2021-11-24 07:00,CN_SRI_MUM_02631022,-0.054,1,+31h
2021-11-26 14:00,CN_SRI_MUM_02631022,-0.213,1,+38h
2021-11-28 20:00,CN_SRI_MUM_02631022,-0.424,1,+44h
2021-11-30 22:00,CN_SRI_MUM_02631022,-0.710,1,+46h
2021-11-14 15:00,CN_SRI_MUM_02631022,0.616,1,+39h
2021-12-04 03:00,CN_SRI_MUM_02631022,-0.567,1,+27h
2021-12-03 15:00,CN_SRI_MUM_02631022,0.627,1,+39h
2021-11-19 08:00,CN_SRI_MUM_02631022,0.711,2,+32h
